time,ECG,BR
4.045,2.021,27.7
4.05,2.056,27.7
4.055,2.112,27.6
4.06,2.101,27.6
4.065,2.099,27.6
4.07,2.127,27.6
4.075,2.175,27.6
4.08,2.158,27.5
4.085,2.133,27.5
4.09,2.133,27.5
4.095,2.139,27.4
4.1,2.079,27.4
4.105,2.021,27.3
4.11,1.993,27.4
4.115,1.984,27.5
4.12,1.911,27.5
4.125,1.841,27.4
4.13,1.822,27.4
4.135,1.82,27.3
4.14,1.763,27.4
4.145,1.706,27.4
4.15,1.688,27.4
4.155,1.69,27.5
4.16,1.632,27.4
4.165,1.585,27.4
4.17,1.579,27.3
4.175,1.592,27.3
4.18,1.55,27.3
4.185,1.523,27.3
4.19,1.531,27.4
4.195,1.554,27.4
4.2,1.524,27.4
4.205,1.5,27.3
4.21,1.512,27.3
4.215,1.549,27.3
4.22,1.518,27.3
4.225,1.49,27.3
4.23,1.503,27.3
4.235,1.542,27.4
4.24,1.516,27.4
4.245,1.492,27.5
4.25,1.51,27.5
4.255,1.545,27.4
4.26,1.511,27.4
4.265,1.484,27.2
4.27,1.498,27.3
4.275,1.532,27.2
4.28,1.506,27.3
4.285,1.482,27.4
4.29,1.501,27.4
4.295,1.53,27.4
4.3,1.496,27.4
4.305,1.472,27.4
4.31,1.48,27.3
4.315,1.514,27.3
4.32,1.49,27.3
4.325,1.472,27.3
4.33,1.496,27.3
4.335,1.526,27.3
4.34,1.493,27.3
4.345,1.464,27.3
4.35,1.474,27.3
4.355,1.507,27.3
4.36,1.48,27.2
4.365,1.464,27.2
4.37,1.482,27.2
4.375,1.521,27.3
4.38,1.489,27.3
4.385,1.469,27.4
4.39,1.484,27.4
4.395,1.513,27.4
4.4,1.49,27.4
4.405,1.472,27.4
4.41,1.492,27.4
4.415,1.527,27.4
4.42,1.501,27.3
4.425,1.476,27.3
4.43,1.494,27.3
4.435,1.533,27.3
4.44,1.505,27.3
4.445,1.482,27.4
4.45,1.5,27.4
4.455,1.548,27.4
4.46,1.527,27.4
4.465,1.506,27.3
4.47,1.512,27.3
4.475,1.543,27.3
4.48,1.512,27.4
4.485,1.506,27.4
4.49,1.541,27.4
4.495,1.595,27.4
4.5,1.583,27.4
4.505,1.573,27.4
4.51,1.591,27.4
4.515,1.619,27.5
4.52,1.578,27.5
4.525,1.547,27.5
4.53,1.544,27.5
4.535,1.561,27.5
4.54,1.52,27.5
4.545,1.49,27.6
4.55,1.502,27.5
4.555,1.536,27.6
4.56,1.517,27.5
4.565,1.502,27.5
4.57,1.515,27.5
4.575,1.548,27.5
4.58,1.522,27.5
4.585,1.503,27.5
4.59,1.522,27.5
4.595,1.558,27.4
4.6,1.525,27.4
4.605,1.5,27.4
4.61,1.504,27.5
4.615,1.519,27.5
4.62,1.447,27.5
4.625,1.389,27.5
4.63,1.447,27.4
4.635,1.65,27.5
4.64,1.893,27.5
4.645,2.268,27.5
4.65,2.666,27.6
4.655,2.953,27.6
4.66,2.944,27.6
4.665,2.753,27.5
4.67,2.362,27.5
4.675,1.681,27.5
4.68,1.17,27.6
4.685,0.926,27.7
4.69,0.863,27.7
4.695,0.929,27.7
4.7,0.929,27.7
4.705,0.905,27.7
4.71,0.925,27.8
4.715,1.003,27.8
4.72,1.005,27.8
4.725,0.955,27.8
4.73,0.981,27.8
4.735,1.052,27.8
4.74,1.12,27.8
4.745,1.244,27.9
4.75,1.422,27.9
4.755,1.59,27.9
4.76,1.659,28
4.765,1.684,28.1
4.77,1.718,28.2
4.775,1.762,28.2
4.78,1.739,28.2
4.785,1.731,28.2
4.79,1.76,28.2
4.795,1.8,28.3
4.8,1.77,28.3
4.805,1.757,28.4
4.81,1.778,28.4
4.815,1.818,28.4
4.82,1.797,28.4
4.825,1.79,28.4
4.83,1.82,28.4
4.835,1.861,28.4
4.84,1.842,28.5
4.845,1.839,28.5
4.85,1.879,28.5
4.855,1.932,28.6
4.86,1.921,28.6
4.865,1.917,28.6
4.87,1.957,28.6
4.875,2.019,28.7
4.88,2.018,28.6
4.885,2.021,28.7
4.89,2.063,28.7
4.895,2.111,28.7
4.9,2.099,28.7
4.905,2.093,28.7
4.91,2.121,28.8
4.915,2.168,28.8
4.92,2.141,28.9
4.925,2.112,28.8
4.93,2.117,28.9
4.935,2.115,28.9
4.94,2.05,28.9
4.945,1.992,28.9
4.95,1.965,28.9
4.955,1.952,29
4.96,1.874,29
4.965,1.802,29.1
4.97,1.77,29.1
4.975,1.76,29
4.98,1.699,29
4.985,1.648,29
4.99,1.629,29.1
4.995,1.631,29.1
5,1.581,29.2
5.005,1.549,29.1
5.01,1.555,29.1
5.015,1.571,29.2
5.02,1.523,29.2
5.025,1.492,29.3
5.03,1.502,29.3
5.035,1.53,29.2
5.04,1.492,29.2
5.045,1.471,29.2
5.05,1.486,29.3
5.055,1.511,29.3
5.06,1.474,29.2
5.065,1.457,29.3
5.07,1.476,29.3
5.075,1.506,29.3
5.08,1.482,29.4
5.085,1.465,29.4
5.09,1.482,29.4
5.095,1.516,29.4
5.1,1.49,29.4
5.105,1.474,29.4
5.11,1.486,29.5
5.115,1.518,29.4
5.12,1.489,29.5
5.125,1.458,29.5
5.13,1.474,29.5
5.135,1.51,29.5
5.14,1.484,29.5
5.145,1.464,29.5
5.15,1.474,29.5
5.155,1.492,29.5
5.16,1.46,29.5
5.165,1.448,29.6
5.17,1.474,29.6
5.175,1.51,29.7
5.18,1.47,29.7
5.185,1.445,29.6
5.19,1.466,29.6
5.195,1.497,29.6
5.2,1.47,29.7
5.205,1.453,29.7
5.21,1.472,29.7
5.215,1.506,29.7
5.22,1.476,29.6
5.225,1.456,29.7
5.23,1.477,29.7
5.235,1.513,29.7
5.24,1.482,29.7
5.245,1.464,29.7
5.25,1.474,29.7
5.255,1.506,29.7
5.26,1.485,29.7
5.265,1.474,29.7
5.27,1.494,29.8
5.275,1.525,29.8
5.28,1.501,29.9
5.285,1.484,29.9
5.29,1.511,29.9
5.295,1.545,29.9
5.3,1.518,29.9
5.305,1.498,29.9
5.31,1.506,29.9
5.315,1.531,29.9
5.32,1.51,29.9
5.325,1.514,29.9
5.33,1.554,29.9
5.335,1.599,30
5.34,1.581,29.9
5.345,1.583,29.9
5.35,1.61,29.9
5.355,1.626,29.9
5.36,1.577,29.9
5.365,1.55,29.9
5.37,1.56,29.9
5.375,1.57,30
5.38,1.519,30
5.385,1.498,29.9
5.39,1.511,29.9
5.395,1.545,29.9
5.4,1.522,30
5.405,1.508,30
5.41,1.526,30
5.415,1.552,30
5.42,1.52,30
5.425,1.502,30.1
5.43,1.527,30.1
5.435,1.562,30.1
5.44,1.528,30.1
5.445,1.511,30.1
5.45,1.519,30.1
5.455,1.523,30.1
5.46,1.434,30.1
5.465,1.368,30.1
5.47,1.435,30.2
5.475,1.651,30.1
5.48,1.917,30.1
5.485,2.34,30
5.49,2.795,29.9
5.495,3.108,30
5.5,3.109,30
5.505,2.925,30
5.51,2.482,30.1
5.515,1.757,30.1
5.52,1.22,30.1
5.525,0.95,30.2
5.53,0.86,30.1
5.535,0.887,30.2
5.54,0.867,30.1
5.545,0.836,30.1
5.55,0.851,30.1
5.555,0.917,30.1
5.56,0.905,30.1
5.565,0.864,30.2
5.57,0.901,30.2
5.575,0.991,30.1
5.58,1.089,30.1
5.585,1.239,30.1
5.59,1.431,30.1
5.595,1.614,30.1
5.6,1.688,30.1
5.605,1.714,30.1
5.61,1.744,30.1
5.615,1.782,30.1
5.62,1.759,30.1
5.625,1.745,30.1
5.63,1.77,30.1
5.635,1.809,30
5.64,1.786,30
5.645,1.781,30
5.65,1.808,30.1
5.655,1.842,30.1
5.66,1.817,30.1
5.665,1.808,30.1
5.67,1.838,30.1
5.675,1.877,30.2
5.68,1.857,30.2
5.685,1.861,30.2
5.69,1.897,30.1
5.695,1.937,30
5.7,1.929,30.1
5.705,1.936,30.1
5.71,1.978,30.1
5.715,2.039,30.2
5.72,2.039,30.1
5.725,2.057,30.1
5.73,2.105,30
5.735,2.155,30
5.74,2.143,30
5.745,2.142,29.9
5.75,2.181,30.1
5.755,2.219,30.1
5.76,2.192,30.1
5.765,2.164,30.1
5.77,2.159,30.1
5.775,2.151,30.1
5.78,2.081,30
5.785,2.021,30.1
5.79,1.994,30
5.795,1.969,30
5.8,1.887,30.1
5.805,1.818,30.1
5.81,1.802,30.1
5.815,1.789,30
5.82,1.714,30
5.825,1.663,30
5.83,1.654,30.1
5.835,1.646,30.1
5.84,1.59,30.1
5.845,1.551,30
5.85,1.552,30
5.855,1.561,30
5.86,1.521,30.1
5.865,1.499,30
5.87,1.513,30
5.875,1.526,29.9
5.88,1.492,30
5.885,1.472,30
5.89,1.485,30
5.895,1.513,30
5.9,1.488,30
5.905,1.476,29.9
5.91,1.496,29.9
5.915,1.526,30
5.92,1.492,30
5.925,1.481,30
5.93,1.504,30
5.935,1.53,29.9
5.94,1.492,29.9
